Percent admitted,Admissions yield,Tuition and fees,Control of institution,Degree of urbanization,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment
,,4189,Public,City: Small,4607,4607,0,1,37,0,56,21,61,1095,34,2,16,,346,176,,2100,2092,2515
,,4500,Public,Town: Distant,2220,2220,0,1,8,12,74,20,61,,,,43,,153,106,89,2563,1259,961
82,39,7812,Public,City: Midsize,15569,10988,4581,3,21,3,62,18,78,1478,384,24,40,86141,2703,465,3378,1300,12709,2860
46,10,37584,Private not-for-profit,City: Midsize,1485,1377,108,1,16,2,68,14,79,187,198,10,53,71074,320,544,1157,1500,1369,116
,,,Private not-for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
48,7,10792,Private not-for-profit,City: Small,677,677,0,0,87,2,6,16,52,111,52,0,28,50625,130,345,428,1100,552,125
,,12340,Private not-for-profit,Town: Distant,782,782,0,0,87,5,2,16,64,49,104,1,50,30349,164,191,665,1370,762,20
,,4350,Public,City: Midsize,1845,1845,0,1,68,2,29,15,60,436,3,0,29,,156,317,,1800,827,1018
88,33,8692,Public,Town: Remote,17521,14000,3521,1,29,3,48,14,70,1568,529,64,39,76696,2072,246,2255,1138,10665,6856
50,14,22170,Private not-for-profit,Town: Distant,3289,2833,456,1,80,1,1,14,68,,,,52,91095,625,590,1850,1656,3113,176
,,,Private not-for-profit,City: Small,242,103,139,0,16,7,51,6,,,,,,,45,578,,,58,184
,,4766,Public,Town: Distant,3872,3872,0,0,15,2,81,16,54,,,,19,,415,255,30,1200,1583,2289
83,61,6690,Public,City: Large,15733,14955,778,8,3,8,56,15,69,1727,84,61,24,106925,1824,628,733,1608,7162,8571
,,9350,Private not-for-profit,Town: Distant,42,42,0,2,0,2,79,8,100,,,,57,,11,,18,600,28,14
77,64,6262,Public,Suburb: Small,7664,6639,1025,2,2,6,52,11,77,708,80,13,30,106896,1985,1138,1754,2000,3501,4163
71,61,6828,Public,Town: Remote,2342,2060,282,3,1,6,52,10,70,179,10,4,24,91954,331,809,377,1400,708,1634
86,8,20760,Private not-for-profit,City: Large,509,296,213,2,4,5,45,9,78,,,,53,64878,118,0,155,1200,240,269
,,,Public,Rural: Remote,967,967,0,1,1,3,51,15,83,,,,90,,72,,164,,178,789
,,21908,Private for-profit,City: Midsize,2664,2660,4,0,6,25,40,25,50,,,,47,,269,17,,,2664,0
,,,Private for-profit,City: Large,430,430,0,22,10,12,34,16,71,,,,69,,45,,,,430,0
,,,Public,Suburb: Small,,,,,,,,,,,,,,,164,,,,,
,,,Private for-profit,City: Large,118,118,0,0,13,46,25,21,63,,,,53,,8,,,,90,28
,,,Public,Suburb: Large,327,0,327,5,5,15,36,,,,,,,204053,144,1036,292,,294,33
,,,Private for-profit,City: Large,244,244,0,1,28,27,32,7,,,,,66,,77,,,,244,0
71,51,,Private for-profit,City: Large,519,519,0,1,6,55,25,42,71,122,0,0,65,,36,23,,,519,0
55,48,,Private for-profit,City: Large,500,500,0,2,5,42,32,27,68,70,0,0,70,,42,21,,,482,18
95,66,,Private for-profit,City: Large,269,269,0,0,5,66,22,38,54,57,0,0,73,,17,29,,,269,0
,,16968,Private not-for-profit,City: Small,78,78,0,0,3,8,22,9,100,,,,29,,16,,,0,78,0
,,,Private for-profit,City: Large,54,54,0,2,11,44,22,20,67,,,,82,,6,,,,54,0
,,,Private for-profit,Suburb: Large,785,785,0,1,10,36,36,24,68,,,,61,,75,,,,785,0
,,,Private for-profit,City: Large,1148,1056,92,6,19,29,36,10,23,,,,26,,63,,,,501,647
84,39,10792,Public,City: Midsize,51164,42427,8737,7,3,19,48,20,87,5074,2272,523,63,144769,8272,467,11183,1125,45522,5642
,,2660,Public,City: Small,7557,7557,0,1,2,72,16,20,64,,,,19,,667,169,312,2000,2221,5336
84,26,11877,Public,City: Large,43751,34101,9650,6,4,24,50,15,83,,,,64,130835,10356,856,24,800,36449,7302
,,23044,Private for-profit,City: Large,129,125,4,2,4,43,36,11,88,,,,58,49945,23,,,1000,117,12
,,2580,Public,Rural: Fringe,5405,5405,0,2,7,33,40,16,54,,,,15,57606,525,264,300,1600,1813,3592
,,,Private for-profit,City: Large,100,100,0,2,13,17,64,13,,,,,28,,15,,,,100,0
,,,Private for-profit,City: Small,51,51,0,4,2,16,73,18,76,,,,63,,13,,,,51,0
,,1968,Public,City: Small,3907,3907,0,2,5,44,41,16,62,604,15,0,25,,438,98,184,1800,1511,2396
,,,Private for-profit,City: Small,37,37,0,0,0,16,43,16,63,,,,64,,3,,,,37,0
,,,Private for-profit,Suburb: Large,66,66,0,0,33,20,27,19,77,,,,41,,6,,,,53,13
,,,Private for-profit,City: Large,79,79,0,4,9,37,41,30,83,,,,84,,11,,,,47,32
,,,Private for-profit,City: Large,298,298,0,2,8,31,46,15,87,,,,69,,24,,,,148,150
,,2550,Public,Town: Remote,6365,6365,0,1,3,20,64,19,52,534,56,7,38,89166,420,161,420,850,1957,4408
77,41,34662,Private not-for-profit,Rural: Fringe,2663,2606,57,6,2,6,62,18,87,148,507,22,60,106859,399,498,1200,1400,2524,139
,,,Private not-for-profit,Rural: Fringe,17,0,17,0,0,18,47,,,,,,,,13,,30,,17,0
,,2094,Public,Suburb: Large,19033,19033,0,4,6,37,42,22,66,2718,4,0,18,,910,130,,1390,6117,12916
67,16,17050,Private for-profit,City: Large,83284,49556,33728,3,21,17,46,19,66,,,,41,79246,5798,27,11219,800,16001,67283
,,,Private for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,,Public,City: Midsize,,,,,,,,,,,,,,,454,,,,,
,,2094,Public,City: Large,5087,5087,0,4,10,47,30,14,54,571,2,0,16,,426,262,,1390,1217,3870
,,2094,Public,City: Large,20424,20424,0,4,6,28,47,21,64,2341,31,0,16,,1054,198,,1390,6223,14201
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,2112,Public,Rural: Fringe,4312,4312,0,2,1,24,66,13,48,454,45,0,14,,336,50,,810,841,3471
,,,Private for-profit,City: Large,1020,1020,0,0,4,12,67,28,80,,,,69,,77,,,,1020,0
,,1410,Public,Rural: Remote,1465,1465,0,1,0,0,0,16,,110,16,0,13,,296,783,281,1400,906,559
81,20,11059,Public,City: Small,31051,27084,3967,2,3,23,58,19,76,3835,1967,80,55,106171,3376,213,9854,1000,23899,7152
,,1808,Public,Rural: Fringe,3021,3021,0,1,1,12,43,14,31,211,4,0,15,,287,326,,1400,616,2405
,,,Private not-for-profit,City: Large,714,340,374,9,9,16,50,8,,,,,,61778,55,126,,,273,441
,,2094,Public,City: Large,11428,11428,0,3,9,54,22,18,63,1219,20,0,18,,603,195,,1390,3015,8413
,,,Private for-profit,City: Midsize,82,82,0,2,4,18,59,15,,,,,84,,14,,,,32,50
,,2118,Public,City: Large,24347,24347,0,3,4,44,37,26,64,4251,210,5,16,,1752,243,,1920,7841,16506
,,,Private for-profit,City: Large,2300,2300,0,5,6,39,40,25,49,,,,69,,99,,,,2300,0
,,,Private for-profit,City: Large,820,820,0,2,2,61,19,25,61,,,,76,,68,,,,820,0
95,17,30501,Private not-for-profit,City: Small,711,390,321,1,2,6,68,8,72,,,,44,,136,543,104,982,436,275
,,,Private for-profit,City: Large,732,732,0,1,11,32,40,34,73,176,11,0,65,,47,,,,732,0
,,2094,Public,City: Midsize,17635,17635,0,4,7,22,51,30,34,282,17,0,14,,784,72,,1390,2210,15425
,,,Private for-profit,City: Large,24,24,0,0,0,25,67,5,,,,,71,,7,,,,24,0
,,,Private for-profit,Rural: Fringe,38,38,0,0,3,47,47,10,42,,,,61,,2,,,,38,0
,,2094,Public,Rural: Fringe,9458,9458,0,3,4,19,59,19,66,730,13,0,19,,501,153,,1390,2464,6994
,,2094,Public,City: Large,4120,4120,0,3,16,56,12,18,63,686,7,0,23,,284,753,,1390,1323,2797
64,40,24958,Private not-for-profit,City: Large,786,786,0,1,13,21,50,16,66,97,51,4,47,60628,122,246,236,1200,646,140
,,,Private for-profit,City: Large,,,,,,,,,,,,,71,,,,,,,
,,,Private for-profit,Suburb: Midsize,1860,1860,0,3,3,29,43,40,80,,,,64,,111,41,,,1860,0
,,6000,Private for-profit,City: Midsize,905,597,308,3,15,15,47,11,13,,,,7,,79,76,,0,905,0
,,,Private for-profit,City: Large,109,109,0,0,22,17,8,24,67,,,,38,,8,,,,77,32
,,2280,Public,City: Small,7370,7370,0,1,1,29,44,19,59,,,,25,,434,330,216,1600,1692,5678
75,47,8998,Public,City: Midsize,11624,8793,2831,2,22,4,57,14,69,675,72,15,32,86183,1531,363,1183,1500,5886,5738
,,,Public,City: Midsize,2836,646,2190,5,8,4,72,10,,,,,,106451,4879,1541,177,,2121,715
,,8760,Private not-for-profit,City: Midsize,593,593,0,0,93,1,5,20,40,,,,19,48410,119,286,535,1000,496,97
,,,Private for-profit,City: Midsize,129,129,0,1,88,2,9,20,67,,,,100,,11,,,,126,3
,,,Private for-profit,Town: Remote,27,27,0,0,4,11,85,4,73,,,,60,,4,,,,24,3
64,18,27340,Private not-for-profit,Town: Remote,672,672,0,3,7,8,70,13,62,,,,52,74142,166,757,460,1000,652,20
,,,Private for-profit,City: Small,127,127,0,0,91,1,7,20,50,,,,68,,11,,,,126,1
,,,Private for-profit,City: Small,41,41,0,0,10,5,78,18,44,,,,35,,4,,,,41,0
66,35,9062,Public,City: Small,27558,23044,4514,2,5,8,74,18,82,2477,2534,55,62,124776,5209,652,6221,1046,22144,5414
47,25,7408,Public,City: Small,2612,2517,95,0,91,2,4,15,71,334,176,4,29,64211,659,479,1648,1000,2375,237
,,3570,Public,Town: Fringe,3739,3739,0,1,6,6,80,17,56,809,12,6,33,61427,327,233,248,1300,1867,1872
66,38,8478,Public,City: Small,13930,9604,4326,1,13,3,75,17,73,1172,222,33,48,86543,1635,358,3754,1137,7597,6333
95,39,7104,Public,Town: Remote,11830,10781,1049,1,7,7,76,19,72,1731,81,34,39,80223,994,199,2856,1416,6897,4933
,,7462,Public,Town: Remote,3700,3417,283,1,25,4,65,15,52,,,,23,65511,427,265,803,1200,2314,1386
,,,Private for-profit,Suburb: Large,59,59,0,0,36,2,58,15,58,,,,49,,10,,,,59,0
69,64,9867,Private not-for-profit,City: Midsize,676,676,0,2,19,1,74,10,58,6,1,0,41,,91,487,,3060,613,63
,,3120,Public,Rural: Fringe,1530,1530,0,0,2,2,94,15,54,,,,27,,177,187,,1926,904,626
90,40,8524,Public,City: Small,11343,9548,1795,2,15,5,68,16,72,1691,184,62,41,80862,1524,379,3664,1200,8850,2493
68,53,15750,Private not-for-profit,City: Small,745,745,0,1,21,3,69,12,64,100,34,2,22,56084,134,,201,1350,599,146
,,3210,Public,Rural: Fringe,1506,1506,0,0,10,27,58,17,61,,,,41,,148,182,,240,532,974
,,12250,Private not-for-profit,Rural: Fringe,214,214,0,0,7,1,92,10,68,,,,24,74775,40,,148,600,188,26
,,1350,Public,Town: Distant,164,164,0,0,58,1,36,6,45,,,,43,,41,,,800,148,16
,,2850,Public,Town: Distant,1045,1045,0,1,34,2,62,13,55,,,,26,,142,437,,2200,411,634
,,,Private for-profit,City: Midsize,115,115,0,0,63,5,32,13,,,,,60,,16,,,,115,0
,,,Private for-profit,City: Small,385,385,0,0,21,7,66,12,75,,,,58,,52,,,,317,68
,,3450,Public,Suburb: Small,2768,2768,0,1,17,0,78,19,55,,,,27,,240,194,,1500,1313,1455
,,2466,Public,Town: Remote,1246,1246,0,0,2,7,84,19,61,266,1,0,50,,121,185,,1400,681,565
72,65,19385,Private not-for-profit,Town: Distant,5541,4184,1357,1,5,3,82,14,83,,,,67,81089,940,247,3245,1200,4605,936
80,33,8530,Public,Town: Distant,3334,2832,502,1,21,5,67,13,65,517,99,1,33,63240,462,469,2067,1600,2627,707
80,29,44070,Private not-for-profit,City: Small,1249,1238,11,5,7,6,70,11,83,,,,75,79958,417,641,1258,1100,1238,11
,,,Private for-profit,City: Small,38,38,0,0,5,8,87,12,100,,,,67,,4,,,,38,0
,,,Private not-for-profit,City: Small,65,65,0,0,26,0,74,10,,,,,,,11,,,,65,0
76,36,26144,Private not-for-profit,Town: Distant,2613,1972,641,2,4,6,75,14,82,,,,73,69179,417,303,1100,800,1712,901
,,,Private for-profit,City: Small,169,169,0,2,8,12,76,7,80,,,,58,,40,,,,169,0
,,,Private for-profit,City: Small,58,58,0,0,2,5,86,19,47,,,,54,,7,,,,58,0
,,2674,Public,Suburb: Large,1561,1561,0,1,57,1,33,11,55,,,,14,,187,146,,1390,437,1124
,,2290,Public,Rural: Fringe,1474,1474,0,1,28,3,67,15,62,,,,29,48747,197,149,,1301,582,892
,,,Private for-profit,City: Small,50,50,0,0,98,0,2,20,88,,,,68,,7,,,,50,0
,,2208,Public,Town: Remote,1821,1821,0,1,1,7,87,15,52,420,37,4,33,,224,187,,1145,1069,752
,,2321,Public,City: Small,175,175,0,4,2,23,66,5,31,,,,57,,67,,,1500,168,7
71,37,25870,Private not-for-profit,Town: Distant,1545,1545,0,0,8,5,82,12,79,,,,64,63976,292,586,1545,1100,1500,45
,,3680,Public,Town: Fringe,1272,1272,0,0,14,5,75,11,57,130,0,0,29,,140,156,,1200,384,888
,,2932,Public,Rural: Remote,1186,1186,0,0,2,2,95,16,49,,,,31,,119,195,,1100,585,601
89,29,23750,Private not-for-profit,Town: Remote,755,755,0,1,8,10,53,14,60,,,,51,69066,151,767,561,1000,747,8
75,52,3092,Public,Town: Distant,1921,1921,0,1,8,7,75,21,54,518,3,0,28,,170,142,,1062,1115,806
,,12714,Private not-for-profit,City: Midsize,891,891,0,0,95,1,1,15,58,,,,30,57436,172,444,595,1000,845,46
,,2810,Public,Rural: Fringe,1636,1636,0,0,45,3,49,12,61,,,,33,,227,382,,1200,621,1015
,,3460,Public,City: Small,1304,1304,0,1,57,2,40,14,63,,,,17,,158,165,,1300,582,722
,,,Private for-profit,Town: Remote,28,28,0,0,39,0,61,14,60,,,,85,,3,,,,28,0
,,5170,Public,City: Small,6038,6038,0,1,41,7,44,17,56,,,,18,,441,202,,800,2501,3537
,,2740,Public,Town: Distant,1536,1536,0,2,34,7,55,16,65,,,,32,,146,169,,1117,740,796
,,2688,Public,Town: Remote,938,938,0,1,0,4,88,17,61,,,,22,,91,216,,660,333,605
,,,Private for-profit,City: Small,106,106,0,1,3,8,86,25,55,,,,70,,10,,,,86,20
,,,Private for-profit,Town: Distant,67,67,0,0,7,3,87,20,45,,,,63,,5,,,,67,0
,,4904,Private not-for-profit,City: Small,521,521,0,0,55,2,42,25,11,,,,8,,65,407,,1096,349,172
62,34,17320,Private not-for-profit,Rural: Distant,501,494,7,0,13,6,74,12,70,,,,42,55527,98,392,471,1250,447,54
,,2628,Public,Town: Remote,1481,1481,0,1,32,4,58,15,62,157,18,0,21,55993,173,224,,1637,638,843
69,35,8346,Public,Town: Remote,4643,3475,1168,1,23,3,58,16,66,641,227,2,36,88674,423,273,1584,1600,3871,772
,,4810,Public,Rural: Distant,1010,1010,0,0,34,3,57,11,68,203,5,0,52,,124,171,94,1500,462,548
,,,Public,City: Midsize,,,,,,,,,,,,,,,55,,,,,
,,,Private for-profit,City: Midsize,14,14,0,0,100,0,0,12,75,,,,79,,9,,,,10,4
,,5577,Public,City: Small,6638,6620,18,5,4,12,66,18,67,975,123,5,30,86533,574,205,865,1605,4455,2183
,,21252,Private for-profit,City: Large,11672,7652,4020,6,6,9,17,14,76,273,362,161,40,,1462,128,1649,1854,6779,4893
,,,Private for-profit,City: Small,,,,,,,,,,,,,,,,,,,,
,,,Private not-for-profit,City: Large,99,0,99,39,4,2,42,,,,,,,,22,,,,67,32
,,,Private for-profit,Suburb: Large,14,14,0,0,79,0,21,3,78,,,,77,,16,,,,14,0
,,,Private for-profit,Suburb: Large,125,125,0,6,42,32,12,18,88,,,,78,,14,,,,125,0
,,1230,Public,Suburb: Large,5760,5760,0,33,18,25,14,27,54,,,,31,,196,326,,1854,798,4962
,,1352,Public,City: Midsize,11739,11739,0,4,3,60,29,23,76,,,,31,,619,136,,1854,3189,8550
79,37,34170,Private not-for-profit,City: Large,280,280,0,0,6,1,46,14,69,,,,69,,54,,144,570,280,0
,,,Private not-for-profit,City: Midsize,52,0,52,27,48,4,12,,,,,,,56994,17,4439,,,18,34
,,,Private not-for-profit,City: Large,341,0,341,4,4,9,34,,,,,,,77793,202,1863,,,337,4
,,,Private for-profit,Suburb: Large,118,118,0,3,8,79,3,25,28,,,,75,,13,,,,65,53
,,,Private for-profit,City: Large,1237,1237,0,12,10,66,5,38,69,,,,70,,84,,,,1237,0
,,28705,Private not-for-profit,City: Large,49,13,36,6,22,4,53,6,,,,,,,144,,,500,49,0
,,1104,Public,Suburb: Large,31858,31858,0,11,8,25,40,27,70,3608,0,24,28,,950,94,,1854,6073,25785
,,1124,Public,Suburb: Large,14125,14125,0,4,16,53,20,24,,2081,13,11,24,90237,682,151,,975,4031,10094
70,40,42008,Private not-for-profit,City: Midsize,2251,2005,246,30,1,12,17,9,80,,,,68,77611,498,450,,4000,1923,328
,,,Private for-profit,City: Large,387,387,0,2,42,39,10,25,56,,,,64,,21,,,,387,0
,,,Private for-profit,City: Large,80,80,0,0,30,40,26,13,,,,,61,,19,,,,80,0
60,20,37506,Private not-for-profit,Suburb: Large,9926,5671,4255,11,6,30,37,10,83,773,201,0,67,86188,1868,528,3103,1854,7232,2694
,,1325,Public,City: Large,23195,23195,0,4,5,66,21,31,,3591,9,0,23,,792,79,,1854,6829,16366
,,1104,Public,Town: Distant,3077,3077,0,3,15,38,31,29,61,439,14,8,16,93100,166,129,,1854,1252,1825
,,,Private for-profit,Suburb: Large,200,200,0,9,19,52,7,12,80,40,1,0,73,,27,,,,200,0
,,7898,Private not-for-profit,City: Large,375,257,118,64,13,14,6,7,38,,,,15,,30,,,400,289,86
72,32,38448,Private not-for-profit,Suburb: Large,6172,4048,2124,21,3,17,44,14,87,641,231,19,73,97403,1040,587,2781,1854,4779,1393
,,,Private for-profit,City: Large,51,51,0,12,2,53,33,10,92,,,,83,,18,,,,51,0
,,13975,Private for-profit,City: Midsize,1249,1242,7,1,19,8,40,35,57,,,,27,,148,,,220,1249,0
,,1368,Public,Rural: Distant,11386,11386,0,5,2,27,55,23,67,,,,31,,662,117,,1854,4868,6518
,,,Private not-for-profit,City: Large,273,0,273,1,10,34,40,,,,,,,39023,78,,,,237,36
,,,Private not-for-profit,City: Large,1417,50,1367,7,6,10,56,11,,,,,,88957,212,859,,,1103,314
,,1268,Public,Suburb: Midsize,11836,11836,0,3,1,44,44,22,72,1468,0,41,26,,596,153,,1746,4160,7676
77,36,32256,Private not-for-profit,City: Large,9941,7414,2527,5,8,35,38,17,78,1240,145,26,59,96287,1085,189,3078,1854,7773,2168
64,21,47266,Private not-for-profit,City: Large,1927,1486,441,15,5,13,24,11,84,,,,61,102050,506,454,515,1500,1823,104
,,,Public,City: Large,1028,0,1028,15,2,15,48,,,,,,,127017,315,3092,280,,988,40
8,41,49908,Private not-for-profit,City: Midsize,2238,961,1277,25,1,8,33,3,98,82,135,18,89,202821,3175,3306,891,1323,2238,0
73,15,41363,Private not-for-profit,City: Midsize,4236,2963,1273,5,3,30,42,16,85,489,80,16,71,112271,671,365,1448,1854,3868,368
35,31,9432,Public,Suburb: Small,22370,21351,1019,13,1,17,55,22,95,4426,780,47,79,107194,2463,401,8362,1884,21375,995
80,28,14310,Private for-profit,City: Large,3780,1194,2586,7,6,27,34,14,,,,,,87857,363,549,,1854,1742,2038
61,26,7147,Public,City: Large,10131,8814,1317,7,6,55,20,24,76,1389,20,27,41,106781,981,483,565,1948,8418,1713
77,23,7038,Public,Suburb: Small,10327,9057,1270,9,2,51,24,22,80,1402,10,9,53,102339,958,315,692,1600,8460,1867
,,,Public,City: Large,,,,,,,,,,,,,,,634,,,,,
57,28,6885,Public,City: Midsize,20692,18327,2365,5,5,61,13,30,85,2485,6,26,54,104359,1680,240,1445,1854,17453,3239
55,20,7339,Public,Suburb: Large,26053,24319,1734,22,3,43,17,29,86,3659,35,92,66,109885,1925,211,3716,1854,22358,3695
68,18,7348,Public,City: Small,17875,16710,1165,5,2,32,43,25,84,2751,29,25,66,101154,1656,267,2345,1854,16223,1652
54,18,6837,Public,City: Small,16219,13278,2941,10,13,57,9,25,77,1669,5,4,43,107831,1212,341,708,1850,11518,4701
59,32,6585,Public,City: Large,25325,22261,3064,14,3,49,20,23,81,3381,23,42,56,104842,2086,361,1139,1854,21546,3779
46,21,6850,Public,Suburb: Large,40905,35162,5743,20,2,41,20,25,87,4282,29,126,66,104902,2980,219,1912,1948,31157,9748
74,12,6834,Public,City: Midsize,16538,13474,3064,23,10,30,16,27,75,1374,15,31,42,105486,1482,377,1697,1500,13092,3446
