Percent admitted,Admissions yield,Tuition and fees,Control of institution,Degree of urbanization,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment
74,40,29710,Private not-for-profit,City: Small,2366,1958,408,2,14,8,62,16,59,,,,43,70805,423,331,965,950,1966,400
,,4656,Public,Town: Distant,851,851,0,0,16,8,64,23,52,,,,34,71649,68,243,437,1100,610,241
58,55,17520,Private not-for-profit,City: Small,267,267,0,4,4,6,73,10,69,22,37,1,69,,67,729,268,600,247,20
,,4960,Public,City: Midsize,7666,7666,0,3,7,11,70,20,66,551,190,0,38,,525,116,72,1600,2421,5245
60,67,16766,Private not-for-profit,Suburb: Large,356,300,56,1,1,0,90,13,83,,,,54,46613,76,452,228,1339,257,99
,,,Private for-profit,Rural: Fringe,25,25,0,12,0,20,68,8,82,,,,78,,4,,,,25,0
56,16,28110,Private not-for-profit,Rural: Remote,2262,1403,859,2,8,7,61,17,62,52,197,5,50,68221,305,163,809,1250,1526,736
93,44,26516,Private not-for-profit,City: Midsize,1836,1788,48,3,7,4,67,13,67,,,,50,64737,286,310,894,816,1592,244
29,26,50714,Private not-for-profit,Town: Remote,1712,1712,0,8,6,7,51,9,96,21,320,96,87,137518,735,2254,1340,900,1662,50
,,15352,Private for-profit,Town: Remote,167,133,34,0,2,5,54,19,,7,1,0,27,,25,0,,0,50,117
,,15352,Private for-profit,City: Midsize,470,419,51,1,10,5,69,19,100,13,0,0,33,,32,0,,0,223,247
,,14250,Private for-profit,City: Midsize,134,134,0,1,13,16,65,13,,,,,75,,23,,,0,134,0
,,5042,Public,City: Small,5605,5605,0,2,8,4,82,17,64,1009,26,4,26,,512,143,,1340,2525,3080
,,,Private for-profit,Town: Remote,24,24,0,0,8,0,92,8,71,,,,81,,5,,,,24,0
,,4080,Public,Town: Remote,4090,4090,0,1,6,6,76,17,57,597,34,31,35,,502,146,657,1344,2147,1943
,,5340,Public,Town: Remote,5788,5788,0,2,10,9,68,18,54,1009,420,41,32,67877,479,41,1268,1253,2842,2946
,,6236,Public,Town: Remote,2011,2011,0,1,5,5,78,13,60,,,,55,61238,271,216,507,1340,977,1034
,,,Private not-for-profit,City: Midsize,18,18,0,0,0,0,100,9,,,,,,,3,,,,18,0
,,,Private for-profit,City: Midsize,26,26,0,4,38,31,27,8,70,,,,67,,5,,,,26,0
,,,Private for-profit,Suburb: Large,45,45,0,13,11,7,64,5,50,,,,67,,16,,,,45,0
89,35,8636,Public,City: Small,36158,30571,5587,3,3,5,70,19,87,,,,73,128171,6301,640,12231,994,32169,3989
50,9,24600,Private not-for-profit,Town: Remote,629,628,1,6,17,10,39,10,59,,,,27,55148,104,,470,1316,551,78
,,5664,Public,City: Small,6080,6080,0,1,11,7,73,18,52,882,232,2,21,63549,537,125,1248,1339,2656,3424
86,21,8965,Public,City: Small,32166,24503,7663,5,3,7,69,16,86,2907,1933,165,74,138122,9926,1340,6964,950,25972,6194
,,4586,Public,City: Midsize,14049,14049,0,2,9,5,74,19,61,2270,163,17,29,70546,1184,115,,2500,5510,8539
,,,Private for-profit,City: Small,25,25,0,0,24,0,48,6,70,,,,73,,7,,,,25,0
,,,Private for-profit,Suburb: Large,73,73,0,0,21,10,60,8,68,,,,59,,11,,,,73,0
,,,Private for-profit,Town: Remote,52,52,0,0,10,4,85,7,51,,,,54,,10,,40,,52,0
,,,Private for-profit,Town: Remote,40,40,0,0,13,10,68,15,54,,,,55,,4,,,,40,0
95,31,32886,Private not-for-profit,City: Small,1467,1397,70,1,2,7,81,12,76,125,204,8,68,66052,330,334,1067,1100,1387,80
65,19,41020,Private not-for-profit,Town: Remote,2053,2053,0,1,2,5,81,11,83,126,344,46,80,81321,457,732,1923,1040,2014,39
89,53,27530,Private not-for-profit,Town: Remote,1646,324,1322,2,5,2,15,11,75,,,,64,26412,394,131,550,1000,1011,635
,,4656,Public,Rural: Fringe,2028,2028,0,1,2,14,50,25,56,,,,37,73099,149,123,152,1337,737,1291
96,30,17600,Private not-for-profit,City: Midsize,758,758,0,3,8,4,81,9,38,,,,35,61637,109,440,,1540,476,282
55,14,30490,Private not-for-profit,City: Small,2788,1322,1466,1,1,5,84,14,70,160,184,10,56,73436,304,208,883,1339,1280,1508
57,29,30582,Private not-for-profit,City: Midsize,1848,1517,331,2,7,1,79,15,75,188,40,10,58,69510,260,362,610,1340,1208,640
,,11248,Private for-profit,City: Large,36453,31546,4907,2,37,12,41,14,26,,,,8,64143,1272,72,,950,36452,1
,,5213,Public,Town: Remote,2947,2947,0,1,4,5,86,22,53,473,77,25,47,,291,130,400,986,1346,1601
81,41,8699,Public,City: Small,11861,9961,1900,1,3,4,82,18,81,1595,164,20,68,91840,1836,605,5166,900,9637,2224
68,21,30200,Private not-for-profit,Town: Distant,1243,1041,202,1,1,4,85,12,77,,,,68,68137,247,274,1045,1350,1003,240
,,5180,Public,Rural: Distant,4536,4536,0,0,3,3,90,12,64,522,61,0,44,,491,177,,1400,1217,3319
,,5910,Public,Rural: Fringe,1646,1646,0,1,2,8,83,12,78,,,,65,,162,194,172,1312,559,1087
,,,Private not-for-profit,City: Midsize,1575,0,1575,13,1,4,76,,,,,,,89609,303,1120,,,1382,193
,,,Private for-profit,Town: Remote,53,53,0,2,4,4,87,6,30,,,,64,,4,,,,53,0
,,9096,Private not-for-profit,City: Midsize,2237,41,2196,8,4,10,73,1,,1,0,0,100,68985,447,566,89,1950,2204,33
,,,Private for-profit,City: Small,95,95,0,2,3,4,89,15,64,23,0,0,68,,18,,,,95,0
61,17,30016,Private not-for-profit,City: Midsize,3114,2368,746,2,4,7,76,12,78,126,416,8,63,80881,493,548,1676,1320,2684,430
27,100,20440,Private not-for-profit,City: Small,274,274,0,1,2,9,84,5,,1,2,0,100,71245,44,848,,1253,113,161
,,,Private for-profit,City: Midsize,80,80,0,1,28,6,59,16,63,,,,40,,8,,,,80,0
,,,Private for-profit,City: Small,45,45,0,2,4,4,84,14,76,,,,71,,5,,,,45,0
84,29,37663,Private not-for-profit,Town: Fringe,1479,1432,47,2,2,4,82,11,80,206,91,1,68,65548,305,454,1344,1339,1294,185
,,5400,Public,Town: Remote,2658,2658,0,1,6,5,52,16,60,,,,37,,272,214,239,1340,1212,1446
,,5664,Public,Town: Remote,1574,1574,0,1,5,7,83,14,63,256,53,6,45,,179,202,280,1338,685,889
,,,Private for-profit,City: Midsize,128,128,0,2,5,10,79,11,68,,,,62,,19,,,,128,0
,,,Private for-profit,City: Small,43,43,0,5,0,23,58,6,80,,,,67,,5,,,,43,0
,,,Private for-profit,City: Small,48,48,0,0,33,10,56,12,80,,,,58,,9,,,,48,0
56,19,29600,Private not-for-profit,Rural: Remote,4943,4271,672,2,17,5,60,17,56,,,,41,67983,503,74,703,1560,2612,2331
72,29,21664,Private for-profit,Town: Remote,2487,2126,361,2,15,9,65,19,46,,,,29,56160,246,140,573,1339,1843,644
77,14,39730,Private not-for-profit,Town: Distant,1527,1527,0,1,5,5,76,11,79,277,146,27,65,69000,369,430,1360,1100,1474,53
,,,Private not-for-profit,City: Small,121,0,121,0,3,2,90,,,,,,,72281,41,1287,44,,104,17
,,,Private for-profit,City: Small,48,48,0,2,29,6,52,16,75,,,,63,,4,,,,48,0
,,4200,Public,City: Small,5731,5731,0,2,4,16,61,17,59,410,88,61,30,,416,,543,1224,1898,3833
54,41,25000,Private not-for-profit,Town: Remote,1339,1282,57,1,19,9,59,16,53,,,,35,65139,186,310,665,1224,1080,259
,,3584,Public,Town: Remote,2556,2556,0,1,6,8,80,20,65,,,,30,,156,,300,500,1017,1539
86,37,28960,Private not-for-profit,Town: Fringe,2694,1771,923,2,9,6,74,7,68,191,61,6,57,69891,385,228,576,1200,1096,1598
,,3456,Public,Rural: Fringe,4228,4228,0,5,13,11,61,20,56,529,88,0,31,,360,58,342,1390,874,3354
97,19,28480,Private not-for-profit,Town: Distant,2166,2085,81,1,3,7,79,13,80,95,337,6,63,74555,345,232,1545,1200,1876,290
67,31,26922,Private not-for-profit,Town: Remote,775,775,0,1,14,17,58,15,56,127,140,12,47,46453,138,199,592,600,710,65
56,25,27720,Private not-for-profit,Town: Distant,503,503,0,2,16,9,67,10,61,70,51,3,42,58727,145,753,427,1000,489,14
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Town: Remote,,,,,,,,,,,,,,,,,,,,
,,15400,Private for-profit,City: Midsize,34,34,0,0,29,3,62,3,69,,,,62,,13,,,1571,34,0
,,2940,Public,Town: Distant,8828,8828,0,5,8,12,64,18,60,,,,23,59309,568,88,360,1200,3771,5057
,,,Private not-for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
39,42,17240,Private not-for-profit,Town: Remote,865,865,0,1,20,12,55,16,53,,,,22,,108,,295,,730,135
,,3030,Public,Rural: Fringe,1873,1873,0,1,6,7,71,11,66,291,40,15,36,,230,109,361,1554,814,1059
,,2304,Public,Town: Remote,1802,1802,0,0,18,6,62,22,59,,,,40,,160,,593,1000,1013,789
,,3450,Public,Town: Remote,1345,1345,0,1,4,9,74,19,59,117,73,0,47,,116,208,315,1200,619,726
,,2945,Public,Town: Distant,2875,2875,0,1,10,11,69,23,59,,,,37,,237,69,483,2000,1608,1267
,,2130,Public,Town: Remote,1773,1773,0,1,9,42,45,15,53,341,145,0,42,54511,261,112,370,1200,938,835
,,7140,Private not-for-profit,City: Midsize,360,360,0,5,30,41,15,10,52,40,15,0,9,47045,62,,,960,220,140
83,43,6345,Public,Town: Remote,5732,3605,2127,1,3,5,60,17,73,510,56,40,45,69953,708,376,853,1000,3751,1981
,,6040,Public,Town: Remote,1137,1137,0,2,2,25,68,14,76,,,,61,,75,,,1700,303,834
89,51,5009,Public,Town: Remote,15100,12494,2606,1,4,7,59,18,71,803,241,1,44,80507,961,220,1743,1080,6508,8592
67,53,17720,Private not-for-profit,Rural: Remote,259,229,30,1,16,5,69,10,65,,,,53,,46,,153,1200,204,55
48,42,27565,Private not-for-profit,City: Large,1628,1146,482,2,9,9,61,10,74,125,50,1,34,64357,290,311,428,1500,1058,570
,,2820,Public,Town: Remote,1792,1792,0,1,7,6,81,18,56,260,82,0,28,,171,,243,1200,847,945
,,3072,Public,Town: Remote,2064,2064,0,2,10,44,39,16,67,,,,31,,242,100,540,1100,1182,882
82,82,480,Public,City: Small,806,806,0,0,0,0,0,22,,24,145,0,45,,152,890,792,1500,771,35
,,,Private for-profit,Town: Remote,56,56,0,0,0,9,88,10,100,,,,65,,11,,,,56,0
,,26318,Private not-for-profit,Town: Distant,440,440,0,2,5,12,66,11,94,53,84,29,55,,116,383,386,1200,403,37
,,3057,Public,Rural: Distant,3260,3260,0,1,11,5,72,21,39,492,166,14,29,,234,67,471,625,1168,2092
,,3072,Public,Town: Distant,5854,5854,0,1,6,11,70,18,63,897,129,4,38,,487,56,528,1000,2242,3612
,,3904,Public,Town: Remote,897,897,0,1,16,5,61,12,43,,,,22,50395,139,,280,200,510,387
,,2790,Public,City: Midsize,18638,18638,0,4,7,9,68,20,67,,,,22,75153,1377,180,,1560,5792,12846
85,43,,Private for-profit,City: Large,516,516,0,2,36,13,44,30,25,,,,64,,50,,,,516,0
,,3248,Public,City: Midsize,5825,5825,0,4,21,19,44,13,60,,,,27,74438,560,38,163,1390,2035,3790
,,7640,Private not-for-profit,City: Midsize,141,141,0,1,38,7,36,11,33,,,,0,17381,26,,86,1000,117,24
93,31,10824,Public,City: Small,27625,19338,8287,5,4,7,70,17,83,2426,1577,146,63,125907,8094,933,5164,1080,22888,4737
64,31,29200,Private not-for-profit,City: Large,3378,2810,568,6,4,14,69,11,80,169,38,5,52,50035,266,126,400,986,1128,2250
,,,Private for-profit,City: Large,52,52,0,0,31,17,38,17,81,,,,64,,7,,,,52,0
94,42,10135,Public,City: Small,22795,18488,4307,2,3,7,75,18,84,,,,63,111256,4771,785,5626,866,19359,3436
54,42,28980,Private not-for-profit,Town: Remote,791,693,98,0,13,15,63,12,55,74,106,3,32,62816,150,338,596,1200,631,160
50,75,6912,Public,City: Midsize,1393,1393,0,0,5,10,60,16,74,,,,66,,117,,,1200,965,428
,,2940,Public,Town: Remote,2005,2005,0,1,4,5,78,17,51,,,,22,39992,153,116,,1050,655,1350
,,6030,Public,City: Small,922,922,0,2,6,9,78,12,52,,,,53,,79,,,2110,331,591
64,79,15418,Private not-for-profit,City: Small,282,282,0,0,9,8,48,14,35,,,,42,49110,42,625,161,2000,236,46
48,39,27823,Private not-for-profit,Town: Remote,733,725,8,1,12,13,64,13,64,,,,36,63524,140,,494,1420,673,60
66,36,29670,Private not-for-profit,Suburb: Large,1888,1308,580,2,11,7,62,7,63,,,,51,67824,327,276,695,1490,1151,737
,,4692,Public,Town: Remote,1977,1977,0,1,7,5,78,11,51,255,59,0,30,,231,102,294,1190,788,1189
,,6019,Public,Rural: Fringe,853,853,0,0,1,2,89,10,80,,,,71,,98,,128,1490,519,334
,,,Public,Town: Remote,896,896,0,1,9,14,69,11,66,71,109,37,65,,93,,253,,409,487
80,23,28550,Private not-for-profit,Town: Distant,727,671,56,3,12,10,60,12,61,,,,46,66252,161,78,452,1100,648,79
,,,Private not-for-profit,City: Midsize,396,345,51,4,8,8,73,6,,,,,,,35,61,,,229,167
87,46,7100,Public,Town: Distant,6907,5706,1201,1,3,5,78,18,74,602,388,0,47,77597,873,362,1342,1000,5418,1489
,,3392,Public,Rural: Fringe,1114,1114,0,1,8,10,64,24,56,,,,35,,120,,348,2000,584,530
49,29,27720,Private not-for-profit,Town: Fringe,1310,748,562,2,10,12,56,9,64,55,90,0,44,59374,225,214,333,2550,1098,212
,,7080,Public,Town: Remote,598,598,0,1,3,10,81,11,73,112,0,0,76,,53,,,56,174,424
,,3008,Public,Town: Remote,1746,1746,0,2,3,48,38,13,57,,,,40,,217,112,250,800,769,977
97,38,28750,Private not-for-profit,Town: Distant,1306,1147,159,1,10,9,42,10,62,68,115,6,41,63340,286,234,515,1000,596,710
52,24,24985,Private not-for-profit,Rural: Distant,697,697,0,2,17,13,64,12,55,77,138,3,39,51170,148,244,703,1200,599,98
53,36,27220,Private not-for-profit,Town: Remote,770,711,59,0,11,12,64,10,60,65,80,4,38,45022,141,328,595,1200,565,205
,,7978,Public,City: Midsize,6691,5873,818,1,6,10,66,15,73,781,83,24,39,93692,830,690,1020,1000,4463,2228
,,7323,Public,Rural: Fringe,4267,4267,0,4,10,16,61,16,64,744,5,0,43,,276,69,,2312,1450,2817
94,31,8432,Public,City: Large,15075,12398,2677,6,6,11,59,20,73,1229,278,0,48,97209,2111,498,1184,1000,9992,5083
,,,Private for-profit,City: Large,938,938,0,2,19,11,58,22,65,,,,66,,100,,,,938,0
26,15,11550,Private not-for-profit,Rural: Remote,598,598,0,0,2,3,93,17,81,,,,55,51198,111,387,441,1400,584,14
70,41,29500,Private not-for-profit,Town: Fringe,1990,1733,257,2,5,5,79,13,85,175,126,22,69,61632,363,429,1181,1275,1365,625
,,,Private not-for-profit,Town: Fringe,1600,0,1600,1,6,6,60,,,,,,,79896,221,1444,339,,689,911
,,4080,Public,City: Small,2603,2603,0,0,2,1,94,17,64,370,32,0,26,62197,215,139,,1000,1400,1203
,,,Private for-profit,Town: Fringe,70,70,0,23,4,3,64,16,74,,,,75,,8,,,,70,0
89,13,40750,Private not-for-profit,City: Large,3757,2544,1213,2,6,3,80,12,72,460,214,7,65,102218,613,408,1123,762,2729,1028
35,72,25760,Private not-for-profit,Town: Distant,1670,1670,0,2,15,11,57,10,80,192,212,28,66,91460,753,867,1519,700,1615,55
,,,Private for-profit,City: Small,266,266,0,8,16,4,63,7,94,,,,91,,44,,,,213,53
,,4080,Public,City: Small,4289,4289,0,2,6,5,81,20,64,356,5,0,31,57926,257,168,,1000,1770,2519
42,8,21550,Private not-for-profit,City: Small,1231,1175,56,1,12,5,65,13,63,96,30,2,39,63497,171,388,312,2400,747,484
69,28,25400,Private not-for-profit,Town: Distant,7207,3704,3503,0,6,2,48,19,66,418,79,44,34,59910,546,121,1159,1200,3342,3865
,,4160,Public,City: Large,9478,9478,0,2,12,6,74,18,54,1722,43,5,19,60355,621,75,,1000,4285,5193
76,21,40500,Private not-for-profit,Town: Distant,1450,1450,0,5,5,5,73,11,91,,,,82,96177,434,901,1477,1500,1449,1
,,9020,Private not-for-profit,Rural: Distant,138,138,0,1,3,1,94,14,50,,,,50,41384,28,1190,100,1400,63,75
,,,Private for-profit,City: Large,222,222,0,0,11,2,77,20,86,30,2,0,50,,22,,,,169,53
,,,Private for-profit,City: Large,1703,1703,0,2,13,6,71,15,,23,10,0,56,,187,,,,790,913
74,25,23000,Private not-for-profit,Town: Remote,10097,3315,6782,0,3,2,44,17,62,,,,41,52348,531,99,1274,1400,3176,6921
87,32,9366,Public,Town: Distant,16612,14143,2469,1,6,3,84,16,73,2319,241,14,44,79621,2283,408,5100,1200,11485,5127
,,4080,Public,City: Small,7115,7115,0,1,6,4,81,23,58,1058,9,2,31,63238,308,100,,1000,2324,4791
,,,Private not-for-profit,Rural: Distant,2004,0,2004,2,9,6,76,,,,,,,,182,193,,,1653,351
67,18,37160,Private not-for-profit,Town: Fringe,1767,1061,706,1,7,0,80,11,67,,,,53,64009,300,546,1480,1250,976,791
,,,Private for-profit,Town: Distant,52,52,0,4,4,0,90,10,75,,,,63,,13,,,,52,0
,,4080,Public,Town: Remote,3305,3305,0,0,1,1,96,17,57,403,0,0,30,62990,241,205,,1000,1139,2166
,,,Private for-profit,Suburb: Large,161,161,0,1,14,4,77,17,67,13,0,0,53,,17,,,,150,11
,,4080,Public,Rural: Fringe,1490,1490,0,1,10,3,82,15,62,277,8,0,22,63126,120,315,,1000,543,947
,,4080,Public,Town: Distant,2640,2640,0,2,21,9,62,19,49,217,74,1,32,61307,172,134,,1000,934,1706
,,4160,Public,City: Large,12250,12250,0,3,19,8,62,23,59,2095,88,1,14,63855,551,187,,1000,3566,8684
,,,Private for-profit,City: Large,68,68,0,1,44,0,43,20,80,,,,36,,15,,,,68,0
,,14886,Private for-profit,City: Large,233,233,0,0,22,12,48,7,,,,,40,,56,,,3042,103,130
50,42,7760,Private not-for-profit,Rural: Distant,83,83,0,0,6,1,88,14,53,3,12,0,71,4538,18,,100,500,65,18
45,34,8184,Public,Town: Distant,1926,1757,169,1,48,2,19,11,68,129,189,0,20,73846,490,703,602,1300,1219,707
58,24,25070,Private not-for-profit,City: Small,716,716,0,1,16,2,73,13,68,141,48,0,32,52767,144,442,520,1400,673,43
96,27,11942,Public,City: Large,29465,22425,7040,3,7,4,74,17,83,3059,1717,75,65,123972,10501,980,8105,1000,26396,3069
40,55,19256,Private not-for-profit,Town: Distant,688,592,96,0,11,2,58,11,56,,,,33,47685,117,540,430,1200,442,246
,,,Private not-for-profit,City: Large,66,0,66,0,17,2,82,,,,,,,57014,24,6471,,,1,65
,,24246,Private not-for-profit,Town: Remote,2565,2068,497,1,8,1,63,16,57,,,,35,65512,411,168,1214,1000,2377,188
76,61,22919,Private for-profit,Suburb: Large,306,306,0,1,17,5,65,4,,,,,37,,64,,500,1864,114,192
75,34,11264,Public,City: Large,21402,15546,5856,4,11,5,72,15,81,2224,549,23,54,107471,6376,993,3678,1200,16092,5310
,,,Private not-for-profit,City: Large,152,0,152,1,26,5,66,,,,,,,63455,62,4444,82,,115,37
,,4080,Public,Rural: Fringe,3404,3404,0,0,5,3,86,17,61,439,13,0,43,61620,216,264,,1000,1048,2356
,,4080,Public,Rural: Fringe,3495,3495,0,0,2,2,93,19,64,557,28,0,34,62270,222,152,,1000,1402,2093
57,36,23950,Private not-for-profit,Rural: Distant,1217,1002,215,0,7,5,76,16,85,,,,52,71671,142,290,289,1200,940,277
80,31,8950,Public,Town: Remote,10580,9661,919,1,3,2,90,18,72,1139,193,14,42,73468,1098,397,3475,1440,6063,4517
87,24,8820,Public,Town: Remote,10012,8559,1453,1,6,2,81,15,77,900,526,17,49,83889,1332,338,2938,1265,7118,2894
,,4160,Public,Suburb: Large,4201,4201,0,1,7,4,85,15,68,655,21,0,35,60364,272,101,,1000,1311,2890
90,41,9744,Public,Suburb: Large,14456,12329,2127,1,7,3,82,19,73,1496,630,19,40,98870,1613,476,2004,800,9740,4716
,,15000,Private for-profit,City: Small,14,14,0,0,7,0,86,3,,,,,33,,5,,,,5,9
,,4080,Public,Town: Remote,6038,6038,0,1,7,4,77,19,69,855,24,0,43,62092,366,100,,1000,2140,3898
100,12,20338,Private not-for-profit,Town: Remote,2336,1560,776,2,5,2,90,14,57,213,58,8,30,64992,322,595,716,2500,1808,528
,,4080,Public,Town: Remote,4346,4346,0,0,1,1,92,22,64,443,4,0,22,61074,259,263,,1000,1987,2359
,,,Private for-profit,City: Large,208,208,0,0,0,100,0,19,,,,,17,,28,,,,180,28
,,,Private for-profit,Suburb: Large,104,104,0,1,33,2,44,15,44,,,,62,,7,,,,75,29
,,,Private for-profit,City: Small,124,124,0,0,15,2,64,23,45,,,,53,,10,,,,99,25
,,,Private for-profit,City: Large,111,111,0,1,72,5,10,26,27,,,,36,,7,,,,111,0
,,,Private for-profit,Suburb: Large,123,123,0,1,12,2,73,23,50,,,,51,,7,,,,87,36
,,4080,Public,Town: Remote,5886,5886,0,1,1,2,94,21,55,1053,5,0,25,64345,368,110,,1000,2589,3297
,,4080,Public,Town: Distant,3229,3229,0,0,2,1,88,20,58,384,21,0,32,61915,245,314,,1000,1513,1716
78,67,18860,Private not-for-profit,City: Large,4083,1066,3017,7,4,5,82,18,74,,,,48,64248,451,610,491,1700,2108,1975
59,31,24000,Private not-for-profit,City: Large,2071,1250,821,1,17,4,64,10,65,138,31,2,45,85648,304,295,346,1260,1423,648
,,20400,Private for-profit,Suburb: Large,396,396,0,1,18,2,57,5,,,,,32,,91,,250,2300,230,166
,,25950,Private for-profit,City: Large,3489,2594,895,8,15,0,47,15,,,,,32,69283,447,230,500,1800,1992,1497
91,16,30270,Private not-for-profit,Suburb: Large,2064,1880,184,1,7,2,78,14,67,208,143,0,45,67538,205,206,445,,1484,580
95,19,37290,Private not-for-profit,City: Large,966,966,0,1,4,5,80,11,82,,,,76,76177,287,677,925,1000,963,3
,,,Private for-profit,City: Large,36,36,0,33,22,0,44,20,54,,,,72,,9,,,,25,11
,,,Public,Town: Fringe,,,,,,,,,,,,,,,276,,,,,
63,30,26080,Private not-for-profit,Town: Remote,1309,1094,215,0,11,3,75,15,58,,,,34,49296,198,324,470,1470,1001,308
95,33,10202,Public,City: Small,20257,17656,2601,2,9,3,78,18,70,,,,43,84635,2387,567,5298,1000,13798,6459
,,4089,Public,City: Small,2453,2453,0,0,29,3,39,24,69,,,,64,47527,157,,,1220,1121,1332
,,,Private for-profit,City: Midsize,135,135,0,3,70,2,23,11,72,,,,53,,22,,,,135,0
,,,Private not-for-profit,City: Midsize,101,101,0,2,19,1,77,7,,,,,,,15,,,,101,0
,,,Private for-profit,City: Midsize,58,58,0,0,48,0,52,10,17,,,,97,,6,,,,36,22
,,,Public,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,4079,Public,City: Small,6734,6734,0,1,40,5,47,27,48,1283,47,8,10,55649,410,139,,1200,3541,3193
,,,Private for-profit,City: Large,32,32,0,0,88,9,3,10,80,,,,79,,8,,,,32,0
62,33,35900,Private not-for-profit,City: Midsize,588,533,55,3,15,9,65,9,78,,,,48,75548,168,669,610,1300,527,61
,,,Private for-profit,Suburb: Midsize,39,39,0,0,18,3,77,20,72,,,,81,,5,,,,39,0
,,,Private for-profit,City: Large,323,323,0,7,33,7,35,20,,,,,80,,33,,,,323,0
,,,Private for-profit,City: Midsize,57,57,0,0,51,2,47,11,68,,,,59,,8,,,,55,2
,,4079,Public,City: Large,14239,14239,0,3,48,10,31,18,44,1799,56,0,5,63982,913,348,,1244,5147,9092
,,9685,Private for-profit,City: Small,47,47,0,0,43,4,53,8,71,,,,70,,11,,,2000,47,0
,,,Private for-profit,City: Small,76,76,0,1,39,1,54,15,57,,,,54,,18,,,,76,0
,,,Private for-profit,Suburb: Large,81,81,0,4,7,4,85,16,78,,,,51,,7,,,,81,0
41,13,17917,Private not-for-profit,City: Large,1290,1290,0,0,91,0,0,12,70,,,,40,71749,281,256,704,1300,1200,90
,,4175,Public,Suburb: Large,2599,2599,0,2,40,7,44,23,38,,,,15,47964,123,145,,1300,986,1613
43,28,7435,Public,Town: Distant,5191,4079,1112,0,90,1,1,25,68,,,,35,67949,501,193,2413,1749,4051,1140
,,,Private for-profit,City: Midsize,90,90,0,1,32,2,63,11,88,,,,52,,16,,,,90,0
,,10575,Private for-profit,Suburb: Large,622,622,0,0,45,1,50,12,64,,,,60,,99,,,3203,622,0
,,,Private for-profit,City: Large,16,16,0,19,25,6,50,11,70,,,,60,,6,,,,16,0
,,,Private for-profit,Suburb: Large,74,74,0,5,27,8,59,15,85,,,,71,,19,,,,74,0
,,,Public,City: Large,2777,921,1856,8,8,5,70,4,,,,,,101663,2009,1289,460,,2479,298
31,70,6668,Public,Rural: Fringe,3372,3372,0,1,17,2,64,19,59,,,,26,58613,248,132,320,1220,1844,1528
74,37,11374,Public,City: Midsize,30861,25444,5417,4,12,6,69,20,83,4008,857,51,67,122244,6105,511,5628,1160,26289,4572
,,4392,Public,Town: Distant,3044,3044,0,1,23,2,69,19,47,772,29,0,11,55359,193,189,,1200,1429,1615
84,57,7166,Public,City: Midsize,5996,2638,3358,2,23,5,49,27,64,,,,30,70055,314,375,,1300,2397,3599
,,,Private for-profit,City: Midsize,135,135,0,1,49,7,41,15,61,,,,58,,14,,,,135,0
,,,Private for-profit,City: Midsize,143,143,0,1,17,1,77,15,82,,,,82,,18,,,,143,0
,,,Private for-profit,Town: Distant,47,47,0,0,13,0,77,12,80,,,,82,,7,,,,47,0
72,55,16000,Private not-for-profit,Suburb: Small,1196,987,209,1,24,3,65,11,55,,,,42,52063,182,199,672,1220,912,284
,,,Private for-profit,Town: Fringe,9,9,0,0,56,0,44,2,100,6,0,0,69,,5,,,,9,0
65,43,9645,Public,Town: Distant,12839,11328,1511,1,12,3,69,25,80,,,,53,83086,1019,248,2452,1251,8910,3929
69,23,39492,Private not-for-profit,City: Large,3759,2602,1157,3,15,14,54,11,80,,,,56,113084,756,539,1332,1248,2963,796
62,64,7920,Public,City: Small,7629,6926,703,2,17,3,69,21,68,1155,90,77,42,80390,684,277,982,1300,5897,1732
57,45,8484,Public,City: Large,7964,6472,1492,8,16,12,53,22,62,870,65,25,32,86476,1115,365,1604,1300,5479,2485
,,8040,Private not-for-profit,City: Large,,,,,,,,,,,,,,55076,283,687,480,800,,
94,51,7886,Public,City: Small,6327,5685,642,1,19,3,68,19,70,,,,47,69946,645,291,1358,1300,4886,1441
75,44,8470,Public,City: Small,9181,7948,1233,2,22,2,64,19,72,1178,85,77,41,82224,899,188,1857,1300,6016,3165
,,2976,Public,Rural: Fringe,1130,1130,0,0,34,6,53,12,33,,,,61,45135,92,0,,1220,471,659
,,,Private not-for-profit,City: Large,,,,,,,,,,,,,,,,,,,,
80,44,7921,Public,Town: Remote,10572,9443,1129,1,28,6,57,16,76,,,,39,73368,842,196,1394,1300,5685,4887
46,10,13220,Private not-for-profit,City: Large,1246,912,334,3,32,10,45,10,69,,,,52,65530,163,276,,1220,638,608
48,65,12764,Private not-for-profit,City: Midsize,1446,1193,253,3,17,8,64,8,75,,,,40,56703,193,480,,1200,691,755
,,,Private for-profit,City: Small,74,74,0,3,54,0,39,13,25,,,,80,,17,,,,74,0
