,0
0,0.10116973282545857
1,0.23086689899235485
2,0.48572277602182784
3,0.25522057433071293
4,0.4587081611151633
5,0.04862630683199611
6,0.6877920955236783
7,0.12020152902720373
8,0.15987249101764056
9,0.6862252478590918
10,0.052273279844395816
11,0.030040251776210933
12,0.047532214928276195
13,0.12156576707999027
14,0.3568630629170381
15,0.22921900748304835
16,0.040521922359996757
17,0.11953967096199043
18,0.09784693519193884
19,0.18931842126590487
20,0.4277088905097658
21,0.1653294432287868
22,0.11778372099305724
23,0.29297349866277655
24,0.1527406326822811
25,0.14936380581894804
26,0.3537563822027717
27,0.18617121862927843
28,0.031877245589864114
29,0.1941000081043845
30,0.3217980927681876
31,0.48450711835102794
32,0.04011670313639679
33,0.28811086797957697
34,0.3121538752465084
35,0.13068319961098956
36,0.07970662128211363
37,0.2805467758057109
38,0.40338222978631444
39,0.23232568819731475
40,0.030796660993597534
41,0.44678120863387094
42,0.25401842396736635
43,0.05031472026366264
44,0.09657724829132561
45,0.008306994083799335
46,0.10980090228813788
47,0.32512089040170733
48,0.07612718480698058
49,0.20088067644595725
50,0.7315017424426614
51,0.009995407515465866
52,0.05848664127292866
53,0.27311775670637817
54,0.3578085744387714
55,0.1650592970797201
56,0.6822000702379988
57,0.04849123375746279
58,0.027852067968771106
59,0.1412188994245887
60,0.7069454574925034
61,0.5791393143690736
62,0.6396790663749088
63,0.6756355188156793
64,0.3732069049355702
65,0.0899586676391928
66,0.012777912850852311
67,0.25522057433071293
68,0.5944566010211524
69,0.08739227922305967
70,0.495448037388227
71,0.2037307183186104
72,0.09853580787205879
73,0.48896452981062755
74,0.22657157522219523
75,0.062349731204581677
76,0.4476456763108842
77,0.48117081341005485
78,0.12588810546505658
79,0.028095199502931087
80,0.1079233865521247
81,0.09463219601804576
82,0.05073344679471594
83,0.429262230866899
84,0.5861496069373531
85,0.052354323689115814
86,0.25522057433071293
87,0.028095199502931087
88,0.052786557527622444
89,0.3732069049355702
90,0.10115622551800524
91,0.4113245265688738
92,0.14089472404570874
93,0.07953102628522031
94,0.09530756139071238
95,0.12858956695572304
96,0.1805927006510522
97,0.015033633195558796
98,0.11250236377880433
99,0.0350109409190372
100,0.04306129616122322
101,0.3008077369857093
102,0.11652754139989735
103,0.37658373179890325
104,0.5517735094686225
105,0.3283356295756004
106,0.1274279385147365
107,0.1805927006510522
108,0.054177810195315666
109,0.024394197260718047
110,0.11899937866385714
111,0.42404841018991274
112,0.1805927006510522
113,0.6465677931761082
114,0.7227219925979955
115,0.15282167652700113
116,0.04862630683199611
117,0.11936407596509711
118,0.17848556068833238
119,0.13423562147121593
120,0.04545208958046303
121,0.018734635437771836
122,0.0968203798254856
123,0.10970635113596455
124,0.06172839506172839
125,0.09355161142177919
126,0.15830564335305403
127,0.6440014047599751
128,0.3488937515195721
129,0.034038414782397275
130,0.17221817002998624
131,0.3819191182429695
132,0.1038171650863117
133,0.0449793338195964
134,0.3776102871653565
135,0.21596833887132938
136,0.5727773725585541
137,0.22638247291784858
138,0.408001728935354
139,0.15668476645865415
140,0.4603290380095632
141,0.009995407515465866
142,0.04897749682578275
143,0.20830969554529
144,0.02949995947807764
145,0.519437015425345
146,0.031607099440797475
147,0.061863468136261715
148,0.08941837534105951
149,0.06565902153064808
150,0.5802739281951536
151,0.06383553502444823
152,0.10646459734716482
153,0.055447497095928895
154,0.3298484480103736
155,0.6892103628062781
156,0.09703649674473891
157,0.012696869006132316
158,0.021071399627198315
159,0.08469081773239323
160,0.3851203501094092
161,0.5633357646486749
162,0.008941837534105952
163,0.39870870140746145
164,0.47167517627036226
165,0.12838695734392308
166,0.43728557149417835
167,0.05424534673258233
168,0.029635032552610963
169,0.06958964799956777
170,0.4608693303076965
171,0.22843558365075506
172,0.43782586379231164
173,0.1013453278223519
174,0.05307021098414242
175,0.030796660993597534
176,0.046032903800956315
177,0.4897749682578275
178,0.1005078747602453
179,0.09086365723856607
180,0.09752275981305887
181,0.05575816516735554
182,0.043358456925196534
183,0.02739281951535781
184,0.3505821649512386
185,0.11994489018559042
186,0.15057946348974793
187,0.25522057433071293
188,0.04272361347488991
189,0.35716022368101147
190,0.5284058675743577
191,0.23124510360104816
192,0.40886619661236734
193,0.3176918713023746
194,0.5458708161115163
195,0.08741929383796634
196,0.03306588864575735
197,0.11351541183780425
198,0.05197611908042251
199,0.0561633843909555
200,0.14344760515438854
201,0.20088067644595725
202,0.5015938622794932
203,0.08891860496528622
204,0.17456844152686601
205,0.040873112353783395
206,0.41910473566199313
207,0.024151065726558067
208,0.12750898235945646
