,Percent admitted,Admissions yield,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment,x0_Private not-for-profit,x0_Public,x1_City: Midsize,x1_City: Small,x1_Rural: Distant,x1_Rural: Fringe,x1_Rural: Remote,x1_Suburb: Large,x1_Suburb: Midsize,x1_Suburb: Small,x1_Town: Distant,x1_Town: Fringe,x1_Town: Remote
582,0.67646408839779,0.36113337940566687,0.0050015389350569405,0.006465250822063442,0.0,0.03333333333333333,0.08163265306122448,0.03,0.68,0.234375,0.6932386107352277,0.003003549649585874,0.0014698677119059284,0.0,0.27,0.33534594559420455,0.0012856860288784863,0.0171700714375235,0.08837423151073255,0.023091725465041697,0.003029632693103017,0.0031398113122916137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,0.87,0.42,0.03633810403200985,0.03749351002546542,0.01770917183578768,0.016666666666666666,0.32653061224489793,0.02,0.59,0.1875,0.71,0.019659597706380268,0.022292993630573247,0.00995405819295559,0.4,0.2737882929430981,0.01786773917056768,0.05877929565108409,0.06968108344255133,0.19243104554201412,0.024621776807440394,0.018285663023488778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
584,0.59,0.72,0.015110418590335488,0.013907088288377382,0.010630238174155975,0.06666666666666667,0.13265306122448978,0.1,0.53,0.09375,0.63,0.00018203331209611358,0.058549730524252816,0.004594180704441042,0.53,0.46073202440081334,0.024362101931825676,0.1448803108158917,0.057994757536041934,0.20525978191148175,0.013080318928952707,0.003229520206928517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,0.67646408839779,0.36113337940566687,0.2656490458602647,0.34145919351249787,0.0,0.05,0.17346938775510204,0.31,0.36,0.359375,0.63,0.4845726767998544,0.008819206271435572,0.0,0.3,0.291097203240108,0.049779125733500365,0.013786188745456823,0.022881170816950635,0.16933932007697244,0.10482529118136438,0.2500635438003678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,0.67646408839779,0.36113337940566687,0.022699292089873806,0.029211066333720673,0.0,0.016666666666666666,0.01020408163265306,0.02,0.93,0.234375,0.8200000000000001,0.03495039592245381,0.006124448799608035,0.0,0.61,0.33534594559420455,0.0067251269202874666,0.01228224088231608,0.006280034949759721,0.2483643361128929,0.007078760832139112,0.02435596489391923,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,0.81,0.27,0.046052631578947366,0.04128859989616041,0.03435295231781808,0.016666666666666666,0.02040816326530612,0.04,0.8200000000000001,0.203125,0.84,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.75,0.3527117570585686,0.021691830948770356,0.027196390525128462,0.13859764089121887,0.16356638871071202,0.03301818741404018,0.02033401611769807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
588,0.67646408839779,0.36113337940566687,0.006405817174515235,0.008270081835488417,0.0,0.0,0.21428571428571427,0.02,0.74,0.234375,0.62,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.32,0.23417030567685587,0.005670205050438452,0.03521744579521243,0.009228920926168633,0.17960230917254652,0.004520404335741009,0.0030052479703362588,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,0.86,0.73,0.002221837488457987,0.0028926743639824956,0.0,0.0,0.061224489795918366,0.0,0.93,0.140625,0.86,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.64,0.33534594559420455,0.001219753412012923,0.05863990712741794,0.08837423151073255,0.17511225144323286,0.0021544054706510345,0.0001794177892738065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
590,0.39,0.2,0.01631271160357033,0.015674833733033352,0.010204081632653062,0.03333333333333333,0.2040816326530612,0.07,0.5700000000000001,0.171875,0.6900000000000001,0.011195048693910985,0.01396374326310632,0.002297090352220521,0.42,0.26563802126737557,0.008802004351552713,0.0369720516355433,0.0191131498470948,0.13547145606157796,0.01341694478374193,0.004575153626482065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,0.42,0.27,0.010637888581101878,0.013202462481766262,0.0009706899000899665,0.03333333333333333,0.0510204081632653,0.14,0.63,0.203125,0.68,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.55,0.35144921497383247,0.006626227994989122,0.03396415590926181,0.06285495849716034,0.15394483643361132,0.01031998691968107,0.0005681563327003872,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,0.03,0.8,0.0015870267774699908,0.0015699557445546025,0.0009706899000899665,0.31666666666666665,0.061224489795918366,0.03,0.34,0.015625,1.0,0.08372888508693553,0.04328925830758833,0.025373861918525923,0.78,0.33534594559420455,0.00329663084327817,0.3531770898608848,0.004750982961992136,0.2511866581141758,0.0016350398661190886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,0.67646408839779,0.36113337940566687,0.018919282856263465,0.024315771256211833,7.102609025048536e-05,0.016666666666666666,0.0510204081632653,0.05,0.8200000000000001,0.296875,0.44,0.020751797578956947,0.0007349338559529642,0.0,0.25,0.414163805460182,0.003824091778202677,0.025692442661987717,0.08837423151073255,0.15394483643361132,0.00411645330999394,0.0230850888865631,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
